model_id,task_type,domain,risk_level,evaluation_slice,quality_score,safety_score,average_latency_ms,average_cost_usd,reliability_score,task_count
accurate_large_model,batch_low_risk_summary,customer_support,low,customer_support_batch_low_risk_summary_low,0.9016000000000001,0.87,1349.7333333333333,0.008879999999999999,0.95,15
accurate_large_model,batch_low_risk_summary,customer_support,medium,customer_support_batch_low_risk_summary_medium,0.901,0.87,1316.0,0.006,0.95,4
accurate_large_model,batch_low_risk_summary,cybersecurity,low,cybersecurity_batch_low_risk_summary_low,0.8988571428571428,0.87,1340.0714285714287,0.008914285714285713,0.95,14
accurate_large_model,batch_low_risk_summary,cybersecurity,medium,cybersecurity_batch_low_risk_summary_medium,0.908,0.87,1400.25,0.006,0.95,4
accurate_large_model,batch_low_risk_summary,finance,low,finance_batch_low_risk_summary_low,0.9017142857142858,0.87,1359.357142857143,0.009085714285714286,0.95,14
accurate_large_model,batch_low_risk_summary,finance,medium,finance_batch_low_risk_summary_medium,0.9,0.87,1383.5,0.006,0.95,4
accurate_large_model,batch_low_risk_summary,general_business,low,general_business_batch_low_risk_summary_low,0.8986666666666667,0.87,1331.7333333333333,0.00904,0.95,15
accurate_large_model,batch_low_risk_summary,general_business,medium,general_business_batch_low_risk_summary_medium,0.9013333333333334,0.87,1484.6666666666667,0.006000000000000001,0.9499999999999998,3
accurate_large_model,batch_low_risk_summary,healthcare,low,healthcare_batch_low_risk_summary_low,0.8994666666666667,0.87,1381.2,0.00904,0.95,15
accurate_large_model,batch_low_risk_summary,healthcare,medium,healthcare_batch_low_risk_summary_medium,0.902,0.87,1248.5,0.006,0.95,4
accurate_large_model,batch_low_risk_summary,insurance,low,insurance_batch_low_risk_summary_low,0.8981333333333333,0.87,1363.2,0.00896,0.95,15
accurate_large_model,batch_low_risk_summary,insurance,medium,insurance_batch_low_risk_summary_medium,0.906,0.87,1299.0,0.006,0.95,4
accurate_large_model,batch_low_risk_summary,legal,low,legal_batch_low_risk_summary_low,0.90075,0.87,1362.375,0.009,0.95,16
accurate_large_model,batch_low_risk_summary,legal,medium,legal_batch_low_risk_summary_medium,0.8866666666666667,0.87,1214.6666666666667,0.006000000000000001,0.9499999999999998,3
accurate_large_model,batch_low_risk_summary,retail,low,retail_batch_low_risk_summary_low,0.8989333333333334,0.87,1318.2,0.00896,0.95,15
